date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD_Signal,MACDEXT,MACD_Hist,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,1.2361,-175400.9259,,,,,,,,,,,-0.9259,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,189433.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,1.2505,-377967.9259,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,392000.0,,,,,,,16.25,,,,,,,,,,0.44,,,,,
1998-01-06,1.2406,-399470.6296,,,,,,,,,,,-0.1605,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,143183.0,,,,,,,16.81,,,,,,,,,,0.81,,,,,
1998-01-07,1.2315,-915470.6296,,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-372817.0,,,,,,,16.81,,,,,,,,,,0.38,,,,,
1998-01-08,1.2217,-1195837.6296,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-653184.0,,,,,,,16.81,,,,,,,,,,0.63,,,,,
1998-01-09,1.1133,-1409709.3045,,,,,,,,,,,-0.8405,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-887151.0,,,,,,,16.8019,,,,,,,,,,1.63,,,,,
1998-01-12,1.0898,-1386707.0787,,,,,,,,,,,0.1129,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-989018.0,,,,,,,16.7583,,,,13.5231,7.7122,,,,,0.69,,,,,
1998-01-13,1.1656,-1282595.0464,,,,,,,,,,,0.6129,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-819151.0,,,,,,,16.6755,,,,50.1818,22.3004,,,,,1.24,,,,,
1998-01-14,1.1656,-1293743.4335,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-819151.0,,,,,,,16.5952,,37.9623,22.6583,50.1818,37.9623,,,,,0.62,,,,,
1998-01-15,1.1656,-1270355.0281,-255549.8084,,,,,,,,,,0.3514,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-819151.0,,,,,,,16.5174,,53.899,38.0539,61.3333,53.899,,,,,0.37,,,,,
1998-01-16,1.2884,-678338.0281,-18240.5483,,,,,,,,,,0.8663,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-227134.0,,,,,,,14.0,,70.5051,54.1221,100.0,70.5051,,,,,1.87,,,,,
1998-01-20,1.3262,-419801.9031,162760.2386,,,,,,,,,,0.4464,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,239899.0,,,,,,,14.03,,84.6383,69.6808,92.5816,84.6383,,,,,1.12,,,,,
1998-01-21,1.2974,-555233.2902,178917.8248,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,18932.0,,,,,,,14.1044,,89.5119,81.5518,75.9542,89.5119,,,,,0.62,,,,,
1998-01-22,1.2929,-567226.5334,165446.4576,,,,,,,,,,-0.1622,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-424818.0,,,,,,,14.1773,,80.7333,84.9612,73.6641,80.7333,,,,,0.37,,,,,
1998-01-23,1.2694,-745093.2001,88300.9174,,,,,,,,,,-0.6667,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-958418.0,,,,,,,14.2488,,70.4835,80.2429,61.8321,70.4835,,,,,0.75,,,,,
1998-01-26,1.0943,-1240013.9841,-108760.7729,,,,,,,,,,-0.924,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1542051.0,,,,,,,17.75,,46.9749,66.0639,5.4286,46.9749,,,,,2.5,,,,,
1998-01-27,1.0701,-1156280.6091,-152847.1384,,,,,,,,,,-0.1319,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2211918.0,,,,,,,17.715,,32.9671,50.1418,31.6406,32.9671,,,,,2.88,,,,,
1998-01-28,1.0587,-1038900.8091,-119639.1572,,,,,,,,,,0.2933,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2407551.0,,,,,,,17.6107,,22.6722,34.2047,30.9474,22.6722,,,,,0.75,,,,,
1998-01-29,1.0564,-948308.8091,-66353.0596,,,,,,,,,,0.88,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2526751.0,,,,,,,17.5085,,30.9679,28.8691,30.3158,30.9679,,,,,0.5,,,,,
1998-01-30,1.0799,-841358.8091,-4492.5598,,,,,,,17.9747,15.6455,13.3163,0.5682,-99.9894,,,,15.6455,,,,,,,,0.0,,,,,,,,,,,15.72,15.185,,7.25,,,-2419801.0,,3.63,,,,,17.4083,15.6455,34.1465,29.2622,41.1765,34.1465,,,,,0.44,15.8653,,,-67.4115,15.3816
1998-02-02,1.0701,-1017672.967,-34877.5365,,,,80.0,0.0,-80.0,17.9348,15.536,13.1372,-0.3421,-87.0982,-23.2238,,31.6167,15.5002,,,,,,,,0.0,14.2446,,,,,,,,,29.8301,15.72,15.125,38.1378,6.8875,-2.19,6.7245,-2898368.0,19.8151,3.5785,,-13.4273,0.8657,38.3881,17.3101,15.536,42.5808,35.8984,56.25,42.5808,,,,,0.38,15.8335,,,-69.1429,15.2363
1998-02-03,1.0466,-1228584.6099,-111245.3191,,,,75.0,50.0,-25.0,17.8697,15.4015,12.9333,-0.8929,-91.8979,-25.7917,,33.2939,15.3392,,,,,,,,0.0,14.2207,,,,,,,,,29.7139,15.655,15.125,38.3434,6.7931,-2.69,6.7344,-3166801.0,19.1887,3.3996,,-16.303,0.837,37.1042,17.2139,15.4015,46.9969,41.2414,43.5644,46.9969,,,,,0.56,15.762,,,-75.0476,15.0719
1998-02-04,1.0989,-238617.6099,182616.0262,,,,70.0,45.0,-25.0,17.764,15.308,12.852,1.0,-67.2659,-16.6505,,30.7288,15.2593,,,,,,,,0.0,14.2294,,,,,,,,,39.8881,15.655,15.125,36.7077,6.4535,-1.87,6.3519,-2176834.0,19.4509,3.4196,,-11.4233,0.8858,41.6748,17.1197,15.308,66.6048,52.0608,100.0,66.6048,,,,,0.75,15.6575,,,-61.9048,14.986
1998-02-05,1.0943,-196444.4163,299649.3175,,,,65.0,40.0,-25.0,17.6613,15.2175,12.7737,-0.1935,-51.8562,-17.2012,,29.8978,15.1813,,,,,,,,0.0,14.2357,,,,,,,,,44.7035,15.655,15.125,36.0388,6.1308,-1.81,6.1667,-2363601.0,19.4491,3.3086,,-11.1385,0.8886,41.3994,17.0273,15.2175,76.2498,63.2839,85.1852,76.2498,,,,,0.31,15.5225,,,-63.0476,14.9034
1998-02-06,1.0845,-211981.5131,315342.1043,,,,60.0,35.0,-25.0,17.5645,15.127,12.6895,-0.8065,-49.8288,-18.4305,,29.8978,15.0983,,,,,,,,0.0,14.2379,,,,,,,,,46.5988,15.655,15.125,35.3605,5.8243,-1.81,6.0199,-2388951.0,19.0831,3.1432,,-11.2283,0.8877,40.7848,16.9367,15.127,84.7737,75.8761,69.1358,84.7737,,,,,0.31,15.3578,,,-65.5238,14.817
1998-02-09,1.0655,-262748.5131,276941.2803,,,-0.921,55.0,30.0,-25.0,17.5708,15.0955,12.6202,-1.0,-55.6863,-20.8104,,31.4272,14.9994,,,,,,,,0.0,14.2359,,,,,,,,,47.9654,15.655,15.125,35.5744,5.723,-0.63,5.9771,-2439718.0,18.5611,2.986,-6.0141,-4.2886,0.9571,39.5948,16.848,15.0955,64.1975,75.0737,38.2716,64.1975,,,,,0.44,15.184,,,-70.2857,14.7153
1998-02-10,1.0754,-149176.4605,272191.9345,,,-1.0528,50.0,25.0,-25.0,17.5736,15.086,12.5984,0.6842,-57.324,-18.9114,,31.4272,14.9223,,,,,,,,0.0,14.2356,,,,,,,,,46.5636,15.655,15.125,35.1376,5.4369,-0.19,5.6931,-2131451.0,18.3332,2.8367,-6.9115,-1.3213,0.9868,40.5443,16.761,15.086,53.9095,67.6269,54.321,53.9095,45.6511,60.2237,,,0.19,15.0131,,,-67.8095,14.6291
1998-02-11,1.0655,-149176.4605,245504.299,,,-0.9906,45.0,20.0,-25.0,17.5427,15.02,12.4973,0.5,-58.741,-20.2313,,31.9467,14.8402,,,,,,,,0.0,14.2307,,,,,,,,,44.6628,15.655,15.125,35.0922,5.225,-1.32,5.5261,-2206118.0,18.0993,2.6949,-6.5436,-8.5826,0.9142,39.8844,16.6758,15.02,34.4356,50.8475,10.7143,34.4356,16.0466,38.73,,,0.19,14.8454,,,-70.2857,14.5314
1998-02-12,1.0564,-164643.1271,207346.8452,,,-0.9121,40.0,15.0,-25.0,17.5074,14.948,12.3886,-0.3333,-59.9002,-21.4732,,33.015,14.7545,,,,,,,,0.0,14.222,,,,,,,,,43.8637,15.655,15.125,35.4889,5.0838,-1.44,5.3595,-2252518.0,17.8718,2.5601,-6.0627,-9.3628,0.9064,39.2634,16.5923,14.948,24.6196,37.6549,8.8235,24.6196,0.0,20.5659,,,0.18,14.6905,,49.9868,-72.5714,14.4285
1998-02-13,1.0655,-71026.1271,202674.4918,,,-0.8204,35.0,10.0,-25.0,17.4614,14.882,12.3026,0.4865,-56.9492,-19.5145,,34.723,14.6883,,,,,,,,0.0,14.2177,,,,,,,,,43.7367,15.655,15.125,35.9088,5.0196,-1.32,5.1797,-2158901.0,17.3988,2.4321,-5.4837,-8.5826,0.9142,40.2428,16.5105,14.882,21.7389,26.9314,45.679,21.7389,76.4573,30.8346,,,0.37,14.5469,,48.9475,-70.2857,14.344
1998-02-17,1.0375,-96595.3597,174202.4558,,,-0.7478,30.0,5.0,-25.0,17.1519,14.7165,12.2811,-0.4419,-62.8965,-23.5173,,35.2716,14.5933,,,,,,,,0.0,14.1503,,,,,,,,,37.352,15.595,15.125,35.2202,4.8286,-3.31,5.2107,-2194368.0,16.8531,2.3105,-5.0297,-19.4706,0.8053,38.2414,16.4302,14.7165,21.3933,22.584,9.6774,21.3933,0.0,25.4858,,,0.43,14.4097,,43.4071,-77.3333,14.2304
1998-02-18,1.0466,-77308.8397,152854.8378,,,-0.7506,25.0,0.0,-25.0,16.6319,14.532,12.4321,0.72,-64.4975,-21.4551,,35.2716,14.5187,,,,,,,,0.0,14.0931,,,,,,,,,30.8522,15.405,15.06,34.5568,4.5872,-3.69,4.9977,-2150535.0,16.5357,2.195,-5.0602,-21.0857,0.7891,39.2724,16.3516,14.532,30.697,24.6098,36.7347,30.697,51.5174,42.6583,,,0.25,14.2987,,46.7893,-74.4141,14.1441
1998-02-19,1.0375,-169448.7045,100908.5973,,,-0.7599,20.0,0.0,-20.0,16.1195,14.3605,12.6015,-0.8378,-68.1937,-22.8116,,32.7983,14.4397,15.1404,,-0.1451,-0.1503,,,,0.0,14.0288,,,,,,,0.1553,2.7494,32.3693,15.375,14.875,33.5718,4.3578,-3.43,4.9246,-2286902.0,16.9888,2.2053,-5.132,-20.035,0.7996,38.5942,16.2746,14.3605,20.1219,24.0707,13.9535,20.1219,17.6287,23.0487,,,0.37,14.2139,,47.7921,-74.9474,14.0639
1998-02-20,1.0277,-171465.1014,69842.7729,,,-0.7107,15.0,5.0,-10.0,15.4671,14.1855,12.9039,-0.5079,-107.2522,-24.3024,,36.6587,14.356,16.1021,,-0.0509,-0.2165,,,,0.0,13.953,-0.6783,0.0987,-0.777,-0.7107,0.141,-0.8517,0.1688,2.8575,35.0114,15.155,14.875,34.8718,4.5199,-3.5,4.9555,-2413935.0,16.1631,2.095,-4.8227,-20.5158,0.7948,37.8488,16.1991,14.1855,29.6533,26.8241,38.2716,29.6533,0.0,23.0487,,,0.63,14.1449,,46.5539,-77.6842,13.9877
1998-02-23,1.0087,-204704.3171,40208.5694,,,-0.7303,10.0,0.0,-10.0,14.6152,14.0135,13.4118,0.1176,-173.5978,-27.1506,,37.9425,14.2563,16.9383,,-0.0305,-0.1524,,,,0.0,13.8503,-0.6797,0.0778,-0.7575,-0.7303,0.1003,-0.8306,0.1827,2.962,38.9471,13.905,14.625,34.4987,4.4239,-3.44,4.9877,-2544335.0,15.5203,1.9902,-4.9823,-20.5373,0.7946,36.4247,16.1251,14.0135,24.146,24.6404,20.2128,24.146,0.0,5.8762,,,0.51,14.0906,,46.2252,-80.9412,13.9043
1998-02-24,1.0087,-204704.3171,24430.1617,,,-0.7448,5.0,0.0,-5.0,14.5988,13.957,13.3152,-0.5,-180.8437,-27.1506,,37.9425,14.1662,17.6488,,-0.1889,-0.2276,,,,0.0,13.8191,-0.6732,0.0675,-0.7407,-0.7448,0.0515,-0.7963,0.1972,3.0655,43.2723,13.905,13.94,34.1622,4.2027,-1.13,4.7834,-2544335.0,15.3689,1.8907,-5.1094,-7.8255,0.9217,36.4247,16.0526,13.957,26.6918,26.8303,21.5909,26.6918,0.0,0.0,,,0.12,14.0517,,47.6662,-71.875,13.8373
1998-02-25,1.0087,-204704.3171,15754.4348,,,-0.6862,0.0,0.0,0.0,14.612,13.9165,13.221,0.5,-150.4507,-27.1506,,37.9425,14.0847,18.2392,,-0.0389,-0.2939,,,,0.0,13.7983,-0.6603,0.0643,-0.7246,-0.6862,0.0763,-0.7625,0.212,3.1679,51.6228,13.905,13.84,33.815,3.9926,-0.81,4.5893,-2544335.0,15.2127,1.7962,-4.7537,-5.7365,0.9426,36.4247,15.9816,13.9165,21.1315,23.9897,21.5909,21.1315,0.0,0.0,,,0.12,14.0083,,40.6684,-86.8056,13.7757
1998-02-26,1.0231,-154737.3171,26671.6433,,,-0.579,85.0,35.0,-50.0,14.6111,13.893,13.1749,1.0,-109.2138,-23.0467,,34.757,14.029,18.7732,,-0.0698,-0.2326,,,,0.0,13.7922,-0.6276,0.0776,-0.7052,-0.579,0.1465,-0.7255,0.2273,3.2713,55.3166,13.905,13.84,33.0778,3.793,-0.47,4.3911,-2494368.0,16.0147,1.8364,-4.0545,-3.3644,0.9664,38.4767,15.9119,13.893,31.0606,26.2946,50.0,31.0606,100.0,33.3333,,,0.25,13.9591,,47.8263,-73.6111,13.736
1998-02-27,1.0466,423925.9967,212833.2245,,,-0.4834,80.0,30.0,-50.0,14.6051,13.8865,13.1679,0.6078,-43.7314,-16.5842,13.2822,25.8169,14.0081,19.3062,,-0.1893,-0.3147,,,,0.0,13.7923,-0.5701,0.1081,-0.6782,-0.4834,0.2047,-0.6881,0.243,3.3766,65.6842,13.905,13.84,31.5984,3.6033,-0.13,4.2625,-1696751.0,18.6308,2.1246,-3.4152,-0.9326,0.9907,41.7079,15.8437,13.8865,54.1268,35.4396,90.7895,54.1268,100.0,66.6667,,,0.51,13.9079,,52.0667,-52.0833,13.7281
1998-03-02,1.061,681683.321,351655.4542,32.6439,,-0.3707,75.0,25.0,-50.0,14.5754,13.874,13.1726,0.3243,19.8281,-12.7633,13.3499,20.5021,14.0074,19.8117,,-0.0309,-0.3916,,,,0.0,13.7946,-0.5034,0.1399,-0.6432,-0.3707,0.2755,-0.6462,0.2592,3.4829,70.3244,13.905,13.84,30.5549,3.4232,-0.25,4.1266,-963134.0,20.1577,2.2583,-2.641,-1.7544,0.9825,43.6184,15.7768,13.874,75.6655,53.6176,86.2069,75.6655,100.0,100.0,,,0.37,13.8562,,57.9718,-38.8889,13.7389
1998-03-03,1.061,681683.321,376477.6886,32.0368,,-0.2599,70.0,20.0,-50.0,14.5629,13.868,13.1731,0.0,32.7137,-12.7633,13.4112,20.5021,14.0067,20.2771,,0.299,-0.391,,,,0.0,13.796,-0.4453,0.1583,-0.6036,-0.2599,0.3317,-0.5917,0.2759,3.588,67.224,13.905,13.84,29.881,3.252,-0.12,4.006,-963134.0,19.7132,2.1454,-1.8659,-0.8499,0.9915,43.6184,15.7113,13.868,87.7344,72.5089,86.2069,87.7344,100.0,100.0,,,0.24,13.809,,59.309,-38.8889,13.7509
1998-03-04,1.061,775550.321,382273.7674,31.5584,,-0.248,65.0,15.0,-50.0,14.5741,13.8775,13.1809,0.0,13.355,-12.7633,13.4667,22.4678,14.006,20.6146,,0.6775,-0.2443,,,,0.0,13.798,-0.3948,0.1671,-0.5619,-0.248,0.2868,-0.5348,0.293,3.6922,70.1523,13.905,13.84,30.4033,3.2194,0.19,3.895,-963134.0,19.2478,2.0381,-1.7825,1.3758,1.0138,43.6184,15.6471,13.8775,86.2069,83.2023,86.2069,86.2069,100.0,100.0,,,0.25,13.7675,,67.4087,-38.8889,13.7635
1998-03-05,1.0231,722117.321,332891.3208,31.2886,,-0.24,60.0,10.0,-50.0,14.4804,13.8275,13.1746,0.0,-50.33,-20.7367,13.4262,26.1636,13.9578,20.7709,,0.936,0.008,,,,0.0,13.7783,-0.3906,0.137,-0.5276,-0.24,0.2425,-0.4825,0.3105,3.7902,59.0792,13.875,13.84,31.3312,3.3084,-1.0,4.0224,-1016567.0,18.3364,1.9362,-1.7279,-6.8966,0.931,39.6317,15.5841,13.8275,63.249,79.0635,17.3333,63.249,0.0,66.6667,,,0.5,13.7242,,56.8824,-73.6111,13.7275
1998-03-06,1.0375,748334.161,290768.2853,31.0324,,-0.2392,55.0,5.0,-50.0,14.3811,13.79,13.1989,0.76,-39.3302,-16.4783,13.4283,26.1636,13.9323,20.878,,0.8662,0.3626,,,,0.0,13.7746,-0.3677,0.1279,-0.4956,-0.2392,0.1887,-0.4279,0.3284,3.8892,57.0606,13.81,13.84,30.5693,3.143,-0.75,3.8596,-966150.0,17.8905,1.8394,-1.7237,-5.1939,0.9481,41.7609,15.5224,13.79,44.7285,64.7281,30.6452,44.7285,53.4079,51.136,,,0.25,13.6895,,58.5843,-60.4167,13.7144
1998-03-09,1.0042,614742.4308,204596.1943,31.0633,,-0.2494,100.0,0.0,-100.0,14.3222,13.737,13.1518,-0.6032,-102.8327,-23.0908,13.3525,31.6508,13.8673,21.1991,,0.2134,0.5967,,,,0.0,13.7434,-0.3807,0.092,-0.4727,-0.2494,0.1235,-0.3729,0.3466,3.9828,53.533,13.72,13.81,32.3718,3.3659,-1.06,4.0261,-1193617.0,16.8065,1.7475,-1.8001,-7.4074,0.9259,38.4546,15.462,13.737,20.3262,42.7679,13.0,20.3262,0.0,17.8026,,,0.63,13.6622,,50.6155,-90.5797,13.663
1998-03-10,1.0231,721689.9045,184773.0629,31.0927,,-0.2255,95.0,0.0,-95.0,14.2831,13.709,13.1349,0.3421,-70.9271,-17.5258,13.3349,31.6508,13.8324,21.6629,,-0.4268,0.521,,,,0.0,13.7373,-0.3666,0.0849,-0.4514,-0.2255,0.0962,-0.3217,0.3653,4.078,58.8444,13.72,13.685,31.1726,3.1976,-0.56,3.8947,-854950.0,16.1839,1.6601,-1.6313,-3.9829,0.9602,41.2371,15.4028,13.709,28.9423,31.3323,43.1818,28.9423,53.885,35.7643,,,0.38,13.6457,,47.7179,-66.3717,13.6404
1998-03-11,1.0042,531289.9045,99284.2307,31.1206,,-0.1971,90.0,0.0,-90.0,14.2247,13.662,13.0993,-1.0,-93.0733,-21.2724,13.2766,31.6508,13.7769,21.7333,,-1.0489,0.3228,,,,0.0,13.714,-0.3713,0.0641,-0.4354,-0.1971,0.0822,-0.2792,0.3843,4.1697,61.2133,13.655,13.62,30.2115,3.0377,-0.94,3.8868,-1045350.0,15.6849,1.5771,-1.4289,-6.6244,0.9338,39.3638,15.3447,13.662,24.429,24.5658,17.1053,24.429,27.4985,27.1279,,,0.31,13.6355,,42.1019,-87.0,13.5967
1998-03-12,1.0133,516659.2245,50630.4711,31.1471,,-0.1751,85.0,65.0,-20.0,14.1727,13.6275,13.0823,-0.52,-79.2667,-18.5513,13.2505,31.6508,13.7381,21.304,,-1.1137,-0.1494,,,,0.0,13.7032,-0.3612,0.0594,-0.4206,-0.1751,0.0699,-0.245,0.4037,4.2617,66.3792,13.655,13.62,29.441,2.8858,-0.69,3.7528,-679583.0,15.2849,1.4982,-1.2715,-4.9075,0.9509,40.7243,15.2878,13.6275,33.3232,28.8982,39.6825,33.3232,68.6496,50.0111,,,0.25,13.6322,,41.6823,-75.0,13.5689
1998-03-13,1.0655,755790.9325,102211.2518,30.024,,-0.0957,80.0,100.0,20.0,14.1948,13.6335,13.0722,0.6106,85.0885,-4.3761,13.3553,8.6861,13.7688,20.6354,,-0.5561,-0.3857,,,,0.0,13.7055,-0.2941,0.1012,-0.3953,-0.0957,0.1187,-0.2144,0.4235,4.3597,71.7306,13.655,13.75,26.2549,2.7415,0.12,3.792,-128116.0,22.0584,2.3033,-0.6957,0.8608,1.0086,47.812,15.2321,13.6335,43.797,33.8497,74.6032,43.797,100.0,65.3827,,,1.13,13.6362,,47.7662,-25.3968,13.6101
1998-03-16,1.0989,1026557.9325,200173.6847,28.8244,,-0.0147,75.0,100.0,25.0,14.3088,13.6555,13.0022,0.0,216.267,3.3788,13.5273,6.0313,13.8384,19.9866,,-0.1655,-0.4946,,,,0.0,13.7175,-0.2031,0.1538,-0.3568,-0.0147,0.1725,-0.1872,0.4437,4.4611,75.2,13.875,13.81,25.1398,2.6044,0.44,3.6448,142651.0,22.2798,2.3081,-0.1067,3.1294,1.0313,51.6894,15.1774,13.6555,71.4286,49.5163,100.0,71.4286,100.0,89.5499,,,0.44,13.6459,,57.2438,-0.0,13.6926
1998-03-17,1.0519,741464.8258,131340.1747,28.1394,,0.0077,70.0,100.0,30.0,14.3256,13.665,13.0044,-0.4933,101.5217,-6.8829,13.5645,15.1245,13.8424,19.3587,,0.4345,-0.4637,,,,0.0,13.7188,-0.1789,0.1423,-0.3212,0.0077,0.1665,-0.1588,0.4642,4.5553,68.6176,13.875,13.81,28.0803,2.9742,0.19,3.8874,-293716.0,20.7022,2.1927,0.056,1.3879,1.0139,46.5585,15.1239,13.665,75.0011,63.4089,50.4,75.0011,58.3724,86.1241,,,0.75,13.6551,,49.9588,-44.9275,13.714
1998-03-18,1.0466,726618.8258,86517.2684,27.4887,,0.0015,65.0,95.0,30.0,14.3256,13.665,13.0044,-0.76,48.9445,-7.9686,13.5851,15.1245,13.8393,18.675,,0.6455,-0.1979,,,,0.0,13.7191,-0.1635,0.1262,-0.2897,0.0015,0.1334,-0.1319,0.4851,4.6479,68.8401,13.875,13.81,27.3996,2.8255,0.0,3.8023,-322266.0,20.2003,2.0831,0.0107,0.0,1.0,46.0157,15.0714,13.665,65.0667,70.4988,44.8,65.0667,48.2565,68.8763,,,0.25,13.6597,,50.8061,-50.0,13.7278
1998-03-19,1.0466,652761.6658,36815.4132,26.8704,,0.0003,60.0,90.0,30.0,14.3345,13.671,13.0075,0.24,47.0826,-7.9686,13.604,15.1245,13.8365,17.9063,,0.8143,-0.0762,,,,0.0,13.7197,-0.1496,0.1121,-0.2617,0.0003,0.1056,-0.1053,0.5064,4.7395,68.8401,13.875,13.81,26.7178,2.6842,0.12,3.7027,-322266.0,19.6977,1.9789,0.0019,0.8766,1.0088,46.0157,15.02,13.671,46.6667,62.2448,44.8,46.6667,0.0,35.543,,,0.25,13.6655,,47.5871,-50.0,13.7416
1998-03-20,0.9852,416078.5944,-62172.2697,26.9798,,-0.0423,100.0,85.0,-15.0,14.3674,13.643,12.9186,-0.7857,-89.4519,-19.9373,13.4744,29.0568,13.7568,17.0952,,1.0008,0.3993,,,,0.0,13.7079,-0.2016,0.0481,-0.2497,-0.0423,0.04,-0.0823,0.528,4.8221,66.4781,13.75,13.69,32.0698,3.42,-0.56,4.1675,-623499.0,17.6289,1.88,-0.3093,-4.1298,0.9587,40.0313,14.9696,13.643,32.3358,48.023,7.4074,32.3358,0.0,16.0855,,,1.12,13.6666,,41.6321,-92.5926,13.6777
1998-03-23,0.8715,-294449.1834,-323092.2265,28.048,,-0.1151,100.0,80.0,-20.0,14.7308,13.5525,12.3742,-0.5556,-321.4991,-36.1292,13.0919,48.3443,13.5419,16.3621,,0.1119,0.8287,,,,0.0,13.5907,-0.3597,-0.088,-0.2717,-0.1151,-0.0451,-0.0701,0.5498,4.8889,55.2593,13.0,12.75,41.4263,5.129,-1.81,5.4538,-1902449.0,14.4253,1.786,-0.8476,-13.5988,0.864,31.9354,14.9202,13.5525,22.1644,33.7223,14.2857,22.1644,0.0,0.0,,,2.25,13.6507,,35.491,-85.7143,13.4736
