date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,5.8725,202350.0,,,,,,,,-0.25,,,,,,,,,,,0.0,,,,,,,,,,,,404700.0,,,,,,,,,,,,,,,,,,,
1998-01-05,5.9064,1008950.0,,,,,,,,0.7045,,,,,,,,,,,0.0,,,,,,,,,,,,1211300.0,,,,,,,53.0,,,,,,,0.44,,,,,
1998-01-06,5.9545,1153477.7311,,,,,,,,0.5798,,,,,,,,,,,0.0,,,,,,,,,,,,1766100.0,,,,,,,53.0106,,,,,,,1.19,,,,,
1998-01-07,5.9818,1512668.4874,,,,,,,,0.2101,,,,,,,,,,,0.0,,,,,,,,,,,,2293800.0,,,,,,,53.0492,,,,,,,1.19,,,,,
1998-01-08,5.9206,1312355.9874,,,,,,,,-0.6696,,,,,,,,,,,0.0,,,,,,,,,,,,1845100.0,,,,,,,53.086999999999996,,,,,,,1.12,,,,,
1998-01-09,5.6671,858448.7874,,,,,,,,-0.8759999999999999,,,,,,,,,,,0.0,,,,,,,,,,,,1241500.0,,,,,,,55.0,,,,,,,2.63,,,,,
1998-01-12,5.7567,938704.7874,,,,,,,,0.6267,,,,,,,,,,,0.0,,,,,,,,,,,,1558300.0,,,,,,,55.0,,,33.7868,,,,1.5,,,,,
1998-01-13,5.8048,1100584.7874,,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,1771300.0,,,,,,,54.9656,,,29.1667,,,,0.5,,,,,
1998-01-14,5.8179,1242463.8572,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1968100.0,,,,,,,54.9315,,42.5388,42.5388,,,,0.43,,,,,
1998-01-15,5.7775,1039718.4026,129939.2599,,,,,,,-0.7045,,,,,,,,,,,0.0,,,,,,,,,,,,1472500.0,,,,,,,54.8978,,49.1891,49.1891,,,,0.88,,,,,
1998-01-16,5.7633,618811.2598,-44481.1596,,,,,,,-0.4464,,,,,,,,,,,0.0,,,,,,,,,,,,936800.0,,,,,,,54.8645,,53.0236,53.0236,,,,0.56,,,,,
1998-01-20,5.831,999330.1003,9282.9508,,,,,,,0.5362,,,,,,,,,,,0.0,,,,,,,,,,,,1547400.0,,,,,,,54.8314,,65.0567,65.0567,,,,0.75,,,,,
1998-01-21,5.6332,439078.5539,-147828.4007,,,,,,,-0.7423,,,,,,,,,,,0.0,,,,,,,,,,,,724000.0,,,,,,,54.7987,,52.0493,52.0493,,,,2.12,,,,,
1998-01-22,5.4628,439078.5539,-198662.2808,,,,,,,-0.3733,,,,,,,,,,,0.0,,,,,,,,,,,,-22200.0,,,,,,,54.7277,,38.884,38.884,,,,2.31,,,,,
1998-01-23,5.4967,410055.0245,-210632.5111,,,,,,,0.3613,,,,,,,,,,,0.0,,,,,,,,,,,,471200.0,,,,,,,54.5634,,18.7887,18.7887,,,,1.19,,,,,
1998-01-26,5.5382,227232.2973,-254551.8811,,,,,,,0.2955,,,,,,,,,,,0.0,,,,,,,,,,,,918100.0,,,,,,,54.403999999999996,,25.4902,25.4902,,,,0.69,,,,,
1998-01-27,5.6201,672516.2973,-107696.5433,,,,,,,0.82,,,,,,,,,,,0.0,,,,,,,,,,,,1504000.0,,,,,,,54.2494,,38.1358,38.1358,,,,1.0,,,,,
1998-01-28,5.6748,924631.3916,42389.6743,,,,,,,0.6509,,,,,,,,,,,0.0,,,,,,,,,,,,1788300.0,,,,,,,54.0994,,62.4281,62.4281,,,,1.06,,,,,
1998-01-29,5.7775,956744.7937,110152.8754,,,,,,,0.5515,,,,,,,,,,,0.0,,,,,,,,,,,,2099800.0,,,,,,,53.9539,,77.2173,77.2173,,,,1.94,,,,,
1998-01-30,5.7906,956744.7937,127860.2872,,,,,,52.6505,0.1364,23.7267,,,,52.6505,,,,,,0.0,,,,,,52.375,52.125,,6.14,,,2547500.0,,4.37,,,,,53.8128,52.6505,84.1857,84.1857,,,,0.88,52.4947,,,-34.7826,52.1869
1998-02-02,5.8933,1172844.7937,192239.6568,,,,20.0,-45.0,52.66,0.6984,70.771,1.3879,,11.269,52.7733,,,,,,0.0,53.005,,,,62.4466,52.375,52.125,26.2736,5.832999999999999,0.19,2.1617,2763600.0,20.9518,4.6515,,0.3535,1.0035,50.6939,49.25,52.66,84.913,84.913,,,,0.94,52.3498,,,-18.4348,52.3097
1998-02-03,5.9545,1224934.4488,217674.3204,,,,15.0,-45.0,52.681999999999995,0.5747,114.0127,5.4587,,1.7669,52.9378,,,,,,0.0,53.0154,,,,60.5439,52.375,52.125,25.164,5.5414,0.44,2.1178,3112200.0,24.2902,5.3489,,0.8139,1.0081,52.7294,49.2969,52.681999999999995,89.0248,89.0248,,,,0.93,52.2243,,,-8.6957,52.4849
1998-02-04,6.0506,1370336.9028,254555.2527,,,,100.0,45.0,52.726000000000006,0.6933,152.6148,11.5018,,7.2844,53.1704,,,,,,0.0,53.0397,,,,59.7597,52.69,52.565,23.345,5.2643,0.88,2.1271,3488400.0,27.0133,6.0915,,1.6147,1.0161,55.7509,49.4084,52.726000000000006,92.7667,92.7667,,,,1.63,52.1397,,,-7.5415,52.7419
1998-02-05,6.1249,1522487.8462,294913.184,,,,100.0,50.0,52.7915,0.0566,186.7706,15.8756,,11.8597,53.4456,,,,,,0.0,53.0816,,,,59.8726,53.03,52.845,22.2444,5.0011,1.31,2.0908,4026000.0,28.2305,6.3469,,2.3927,1.0239,57.9378,49.6025,52.7915,89.5021,89.5021,,,,1.06,52.137,,,-5.2851,53.0594
1998-02-06,6.2888,2001839.3255,437133.8825,,,,100.0,55.0,52.96,0.8462,222.6198,24.5358,,21.4096,53.8374,,,,,,0.0,53.248999999999995,,,,65.7887,53.78,53.5,20.6133,4.751,3.37,2.0813,4644400.0,31.8443,7.3396,,6.2189,1.0622,62.2679,49.876000000000005,52.96,91.214,91.214,,,,1.69,52.2434,,,-2.2353,53.5135
1998-02-09,6.2341,1997753.4848,454275.5933,,,0.3642,95.0,55.0,53.2195,-0.4425,177.8157,20.1942,,21.4096,54.1443,,,,,,0.0,53.567,,,,66.51899999999999,53.78,53.5,19.6017,4.5135,5.19,2.0936,4182700.0,30.2815,6.9726,0.6825,10.0058,1.1001,60.0971,50.2697,53.2195,89.1756,89.1756,,,,1.13,52.4429,,,-8.1176,53.903999999999996
1998-02-10,6.2757,2036746.0774,432397.0642,,,0.8165,100.0,65.0,53.457,0.3951,156.2916,22.3596,,22.685,54.4582,,,,,,0.0,53.8632,,,,67.1509,53.78,53.53,18.9018,4.2878,4.75,2.0462,4633900.0,29.9937,6.803999999999999,1.5259,9.015,1.0901,61.1798,50.6437,53.457,88.9758,88.9758,86.8486,,,0.81,52.7077,,,-4.3224,54.306000000000004
1998-02-11,6.3915,2377746.0774,492637.9328,,,1.2965,100.0,70.0,53.7255,1.0,150.4111,28.0887,,27.4366,54.8431,,,,,,0.0,54.2631,,,,67.7126,54.25,53.875,17.968,4.0734,5.37,2.0044,4974900.0,31.5556,7.1538,2.4154,10.1073,1.1011,64.0443,51.0737,53.7255,90.4022,90.4022,86.8486,,,1.12,53.0435,,,-0.0,54.7862
1998-02-12,6.4942,2575928.6861,535554.7606,,,1.7732,100.0,75.0,54.035,0.5121,150.0545,32.7228,,36.0681,55.2809,,,,,,0.0,54.7741,,,,68.483,54.72,54.595,16.3924,3.8697,6.19,2.0482,5358300.0,34.8885,8.2361,3.2917,11.6244,1.1162,66.3614,51.5935,54.035,92.24,92.24,94.4346,,,2.07,53.4498,,70.9486,-4.6773,55.3305
1998-02-13,6.4461,2878828.6861,600802.1211,,,2.1981,95.0,75.0,54.341,0.6596,118.8055,28.6383,,36.0681,55.6351,,,,,,0.0,55.1807,,,,69.6399,54.72,54.595,15.4422,3.6762,6.12,2.0773,5055400.0,32.8661,7.8243,4.0681,11.5734,1.1157,64.3191,52.2613,54.341,86.5959,86.5959,89.1328,,,1.38,53.913999999999994,,70.9933,-8.7933,55.8033
1998-02-17,6.4461,2757907.2575,534400.8484,,,2.5231,90.0,75.0,54.6535,0.2143,112.3206,28.6383,,38.1623,55.9556,,,,,,0.0,55.566,,,,74.9734,54.72,54.595,15.0691,3.4924,6.25,2.0209,5055400.0,33.6684,7.8031,4.6537,11.8483,1.1185,64.3191,52.8756,54.6535,75.9383,75.9383,75.9949,,,0.56,54.4231,,69.4976,-8.7933,56.247
1998-02-18,6.3849,2345285.4626,327366.0432,,,2.7237,85.0,75.0,54.907,-0.359,94.4745,23.2877,,31.3097,56.1922,,,,,,0.0,55.7765,,,,68.4832,54.72,54.595,16.4472,3.8778,5.07,2.0717,4509900.0,31.4407,7.4129,5.0004,9.4997,1.095,61.6438,53.4407,54.907,60.7026,60.7026,42.6616,,,1.56,54.9572,,59.1444,-14.0318,56.6077
