date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,6.055,-18644.6809,,,,,,,,-0.3298,,,,,,,,,,,0.0,,,,,,,,,,,,292100.0,,,,,,,,,,,,,,,,,,,
1998-01-05,5.8579,-225789.6513,,,,,,,,-0.7041,,,,,,,,,,,0.0,,,,,,,,,,,,-76400.0,,,,,,,44.75,,,,,,,1.81,,,,,
1998-01-06,5.6185,-690989.6513,,,,,,,,-0.633,,,,,,,,,,,0.0,,,,,,,,,,,,-541600.0,,,,,,,44.7269,,,,,,,1.88,,,,,
1998-01-07,5.7813,-449589.6513,,,,,,,,0.7642,,,,,,,,,,,0.0,,,,,,,,,,,,-300200.0,,,,,,,44.6536,,,,,,,1.19,,,,,
1998-01-08,5.7389,-390968.9616,,,,,,,,-0.3563,,,,,,,,,,,0.0,,,,,,,,,,,,-504200.0,,,,,,,44.5817,,,,,,,0.87,,,,,
1998-01-09,5.5158,-548635.1717,,,,,,,,-0.7443,,,,,,,,,,,0.0,,,,,,,,,,,,-826900.0,,,,,,,44.5113,,,,,,,2.19,,,,,
1998-01-12,5.6787,-404235.7064,,,,,,,,0.8663,,,,,,,,,,,0.0,,,,,,,,,,,,-629800.0,,,,,,,44.3684,,,54.8589,,,,1.87,,,,,
1998-01-13,5.7211,-294128.5064,,,,,,,,0.344,,,,,,,,,,,0.0,,,,,,,,,,,,-471600.0,,,,,,,44.2299,,,82.4,,,,1.25,,,,,
1998-01-14,5.7307,-190702.4195,,,,,,,,0.1884,,,,,,,,,,,0.0,,,,,,,,,,,,-346400.0,,,,,,,44.0955,,74.153,85.2,,,,0.69,,,,,
1998-01-15,5.7307,-106514.4195,68313.0554,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,-346400.0,,,,,,,43.9651,,87.4222,94.6667,,,,0.5,,,,,
1998-01-16,5.8497,-69051.0607,95301.0032,,,,,,,0.5725,,,,,,,,,,,0.0,,,,,,,,,,,,-88100.0,,,,,,,43.8387,,87.8467,83.6735,,,,1.43,,,,,
1998-01-20,5.8675,-69051.0607,97677.7998,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,72100.0,,,,,,,43.716,,87.1811,83.2031,,,,0.5,,,,,
1998-01-21,5.7731,-75440.4224,87737.3469,,,,,,,-0.4681,,,,,,,,,,,0.0,,,,,,,,,,,,-28000.0,,,,,,,43.597,,70.8359,45.6311,,,,1.13,,,,,
1998-01-22,5.7389,118587.5776,137430.8574,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-283300.0,,,,,,,43.4816,,51.0479,24.3094,,,,0.69,,,,,
1998-01-23,5.602,-51930.0224,91010.7065,,,,,,,-0.8959999999999999,,,,,,,,,,,0.0,,,,,,,,,,,,-498600.0,,,,,,,43.3697,,25.0468,5.2,,,,1.25,,,,,
1998-01-26,5.4912,-154945.407,30969.3218,,,,,,,-0.8252,,,,,,,,,,,0.0,,,,,,,,,,,,-657000.0,,,,,,,43.2611,,12.4006,7.6923,,,,1.43,,,,,
1998-01-27,5.5938,-195953.0993,-9456.3579,,,,,,,0.4038,,,,,,,,,,,0.0,,,,,,,,,,,,-301600.0,,,,,,,43.1557,,16.1598,35.5872,,,,1.62,,,,,
1998-01-28,5.7211,-475586.9976,-114108.8892,,,,,,,0.1525,,,,,,,,,,,0.0,,,,,,,,,,,,100800.0,,,,,,,43.0536,,36.3833,65.8703,,,,1.93,,,,,
1998-01-29,5.8497,-405300.3309,-124183.8136,,,,,,,-0.3333,,,,,,,,,,,0.0,,,,,,,,,,,,506300.0,,,,,,,39.75,,63.903,90.2516,,,,1.25,,,,,
1998-01-30,6.0043,204741.3357,77088.2307,,,,,,39.9318,0.9583,129.7214,,,,41.992,,,,,,0.0,,,,,,42.19,42.25,,7.13,,,1171800.0,,4.25,,,,,39.7831,41.992,84.8813,98.5222,,,,1.44,41.8495,,,-17.4,41.9444
1998-02-02,5.8839,-176727.8071,31042.2278,,,,0.0,-25.0,40.0822,-0.8571,148.0983,-7.6829,,17.7898,42.088,,,,,,0.0,43.8692,,,,63.5002,42.005,42.19,26.6421,6.7735,-1.25,3.1012,729700.0,18.5946,4.7275,,-2.8249,0.9718,46.1586,39.8662,41.9295,84.0207,63.2883,,,,1.75,41.856,,,-33.4016,42.0404
1998-02-03,6.055,538672.1929,237010.4787,,,,95.0,75.0,39.9246,1.0,169.3898,0.3741,,17.7898,42.2939,,,,,,0.0,43.8745,,,,71.9761,42.19,42.19,25.3312,6.4348,1.44,3.0041,1445100.0,17.6796,4.4911,,3.3637,1.0336,50.1871,40.0092,42.0015,83.0479,87.3333,,,,1.25,41.8885,,,-7.7869,42.2614
1998-02-04,6.1836,626936.9929,327808.0651,,,,100.0,85.0,39.7587,0.35200000000000004,218.6879,5.9447,,2.9169,42.5697,,,,,,0.0,43.9426,,,,81.017,42.66,42.75,23.8488,6.1131,4.13,2.9605,2293800.0,22.497,5.7666,,10.0585,1.1006,52.9724,40.1478,42.208,78.1142,83.7209,,,,1.5,41.9477,,,-9.3333,42.565
1998-02-05,6.1494,375870.3262,255266.9505,,,,100.0,90.0,39.6187,-0.2348,174.13,4.3118,,1.7449,42.7955,,,,,,0.0,43.974,,,,72.8871,42.66,42.815,22.6225,5.8074,2.69,2.975,1702000.0,21.8466,5.6082,,6.3669,1.0637,52.1559,40.3719,42.3425,81.0812,72.1893,,,,1.32,42.0239,,,-15.3344,42.8252
1998-02-06,6.2178,475603.6595,234118.28699999998,,,,95.0,90.0,39.4871,0.3333,156.3899,7.3191,,1.7449,43.0473,,,,,,0.0,44.0384,,,,76.2466,42.785,42.815,21.9475,5.5171,3.5,2.8777,2001200.0,21.1948,5.3278,,8.3453,1.0835,53.6595,40.6473,42.5175,80.4145,85.3333,,,,0.75,42.1438,,,-7.1778,43.1202
1998-02-09,6.1836,475603.6595,204183.0803,,,0.5904,90.0,90.0,39.6958,-0.2841,129.5075,5.5728,,3.5241,43.2514,,,,,,0.0,44.1341,,,,77.4541,42.785,42.88,21.9349,5.4312,4.88,2.8463,1812500.0,20.4415,5.0614,1.3856,12.1062,1.1211,52.7864,40.9089,42.7615,77.4773,74.9091,,,,0.88,42.3188,,,-11.5,43.3748
1998-02-10,6.2342,722558.205,251951.2075,,,0.925,85.0,40.0,39.7269,0.8409,124.1117,7.9073,,3.5241,43.4713,,,,,,0.0,44.2326,,,,78.0866,42.845,42.88,21.5321,5.1596,4.06,2.7303,2174700.0,20.0661,4.8084,2.1683,9.7831,1.0978,53.9537,41.1575,42.9645,79.018,76.8116,100.0,,,0.44,42.538000000000004,,,-5.3333,43.6413
1998-02-11,6.2342,714522.205,246031.1498,,,1.2717,80.0,40.0,39.7723,0.0,112.619,7.9073,,2.8723,43.6702,,,,,,0.0,44.3173,,,,78.2747,42.845,42.88,21.2982,4.9017,3.75,2.6212,2174700.0,20.1089,4.6279,2.9737,8.9691,1.0897,53.9537,41.3936,43.152,75.8261,75.7576,100.0,,,0.25,42.7969,,,-5.3333,43.8885
1998-02-12,6.2342,895163.5383,278719.6277,,,1.4887,75.0,40.0,39.8542,0.24,91.9968,7.9073,,8.5303,43.8502,,,,,,0.0,44.395,,,,75.3273,42.845,42.88,23.0682,5.2166,3.68,2.5725,2174700.0,19.442,4.3965,3.4669,8.787,1.0879,53.9537,41.6179,43.336000000000006,79.5798,86.1702,100.0,,,0.75,43.0814,,56.3063,-5.3333,44.1178
1998-02-13,6.226,870979.4113,259059.0894,,,1.6712,100.0,70.0,39.9809,0.3016,90.382,7.4051,,5.6385,44.0073,,,,,,0.0,44.461999999999996,,,,75.2116,42.845,42.88,22.410999999999998,4.9558,3.62,2.5163,2057500.0,20.0186,4.4267,3.8806,8.6437,1.0864,53.7026,41.831,43.516999999999996,76.0998,66.3717,78.4867,,,0.63,43.3726,,55.2274,-6.3333,44.3239
1998-02-17,6.226,918539.4113,242598.0428,,,1.7634,100.0,75.0,40.0355,0.048,75.9024,7.4051,,10.6506,44.1495,,,,,,0.0,44.5092,,,,71.6445,42.845,42.94,23.3988,5.207999999999999,2.75,2.5278,2057500.0,18.8943,4.2054,4.0819,6.4327,1.0643,53.7026,42.0335,43.6545,70.8473,60.0,0.0,,,1.25,43.6685,,60.8192,-8.1699,44.5128
1998-02-18,6.252,977506.078,232571.732,,,1.7073,95.0,75.0,40.09,0.3333,76.8061,8.892999999999999,,10.6506,44.2962,,,,,,0.0,44.5642,,,,71.7561,42.91,42.94,22.7846,4.9476,2.81,2.4538,2234400.0,18.3984,3.9951,3.9332,6.5532,1.0655,54.4465,42.2715,43.795,67.1906,75.2,100.0,,,0.57,43.9751,,61.0366,-5.0654,44.7066
1998-02-19,6.1836,941356.078,195824.902,,,1.7479,90.0,75.0,40.2692,-0.5441,54.0146,4.2526,,14.9551,44.3813,15.6467,,-0.2994,,,0.0,44.5969,,,8.3642,68.5485,42.91,42.94,23.9295,5.1302,3.0,2.4466,1824700.0,17.7032,3.7954,4.0135,7.1107,1.0711,52.1263,42.4952,43.945,56.8,35.2,0.0,,,0.81,44.2693,,59.1266,-13.2353,44.8395
1998-02-20,6.1836,963952.5066,170179.6168,,,1.6962,85.0,75.0,40.5142,-0.4464,47.5241,4.2526,,14.9551,44.4583,17.2118,,-0.3647,,,0.0,44.633,0.0473,0.2671,8.7324,68.7956,42.91,42.94,23.2891,4.8737,3.25,2.3862,1824700.0,17.2295,3.6056,3.8833,7.7492,1.0775,52.1263,42.7055,44.1075,48.5333,35.2,0.0,,,0.56,44.5385,,56.5983,-13.2353,44.958
1998-02-23,6.226,1206304.5066,221329.4895,,,1.5828,80.0,75.0,41.0061,0.62,54.6465,6.9759,,12.3062,44.5575,18.9332,,-0.3358,,,0.0,44.7317,0.0253,0.0435,9.1001,72.7833,42.91,42.94,22.7178,4.63,4.56,2.3064,2329600.0,17.7391,3.6153,3.6122,11.1383,1.1114,53.4879,42.9031,44.3355,43.4667,60.0,58.6868,,,0.5,44.7809,,59.8319,-8.1699,45.0907
1998-02-24,6.1576,883408.5066,119393.9384,,,1.4678,75.0,75.0,41.8589,-0.63,39.2825,2.0481,,15.7481,44.5997,20.8267,,-0.2849,,,0.0,44.7675,-0.0298,-0.1318,9.4591,69.2182,43.285,43.095,23.1736,4.7185,4.87,2.3265,1808800.0,16.8679,3.4345,3.3406,12.1356,1.1214,51.023999999999994,43.0889,44.57899999999999,37.6523,17.757,0.0,,,1.0,44.9807,,50.271,-17.2117,45.153999999999996
1998-02-25,6.1412,738263.052,20656.3921,,,1.3392,70.0,70.0,42.6529,-0.2727,14.0074,0.8741,,16.3957,44.6264,22.9095,,-0.2862,,,0.0,44.7796,-0.0784,-0.2679,9.8133,64.8013,43.75,43.815,22.9615,4.5426,4.0,2.2651,1454000.0,16.4927,3.2628,3.0423,9.7847,1.0978,50.4371,43.2636,44.778999999999996,30.0071,12.2642,0.0,,,0.44,45.1284,,49.0778,-25.6293,45.1826
1998-02-26,6.4313,1065057.2338,82365.8726,,,1.3316,100.0,100.0,43.1745,0.8618,140.6227,18.3427,,10.1429,44.8524,25.1903,,-0.6929,,,0.0,45.0797,0.0227,-0.2581,10.1852,65.1967,44.875,44.845,20.0306,4.3154,5.19,2.3474,1905600.0,24.5526,5.2897,3.0141,12.4133,1.1241,59.1714,43.4278,45.0385,38.7343,86.1818,100.0,,,2.75,45.2465,,60.3984,-7.4951,45.3941
1998-02-27,6.4395,1122464.3767,118388.7626,,,1.2693,100.0,100.0,43.5051,0.1845,233.1482,18.7692,46.4243,14.1868,45.0627,27.4182,,-0.1621,,,0.0,45.3083,0.0809,-0.2758,10.5539,65.9505,45.03,45.155,18.5111,4.0997,4.31,2.4056,2441400.0,24.6317,5.4552,2.8609,10.0819,1.1008,59.3846,43.7044,45.254,58.287,76.4151,100.0,,,1.68,45.3443,,59.0722,-14.1243,45.5867
1998-03-02,6.3628,778864.3767,13035.5119,10.0127,,1.1722,95.0,95.0,43.6754,-0.6667,190.0205,12.9726,46.5554,14.1868,45.1996,29.6391,,0.8826,,,0.0,45.3784,0.0693,-0.3071,10.9134,60.1161,45.03,45.345,17.874000000000002,3.8947,2.62,2.3935,2097800.0,23.7839,5.1824,2.6318,5.9708,1.0597,56.4863,44.0329,45.385,73.8006,58.805,67.6077,,,0.75,45.4255,,56.0187,-26.572,45.7053
1998-03-03,6.449,1306097.9645,136507.5498,9.8384,,1.065,90.0,90.0,44.1003,0.8626,164.78,17.7276,46.7764,6.5276,45.3834,31.63,,0.8635,,,0.0,45.5971,0.0905,-0.34299999999999997,11.2756,53.422,45.69,45.47,19.627,4.32,4.13,2.3824,2678200.0,22.3683,4.9233,2.3783,9.6047,1.0959999999999999,58.8638,44.3351,45.5915,71.2788,78.6164,94.1795,,,1.31,45.5069,,60.6891,-14.5299,45.8715
1998-03-04,6.5079,1374197.9645,196277.2426,10.0134,,0.9509,100.0,100.0,44.1667,0.6364,204.7002,20.8352,47.0386,13.3374,45.5907,32.6536,,3.555,,,0.0,45.7986,0.11800000000000001,-0.3686,11.6384,50.7353,46.22,46.19,18.8344,4.104,3.31,2.3354,2927900.0,24.6316,5.3671,2.11,7.4802,1.0748,60.4176,44.6131,45.757,75.8584,90.1538,100.0,,,0.88,45.5825,,60.5155,-9.4675,46.059
1998-03-05,6.4313,1434387.4382,222036.2911,10.0264,,0.8405,95.0,95.0,44.1919,0.0,119.6502,14.8863,47.1564,10.2734,45.7249,32.583,,6.0673,,,0.0,45.8524,0.0847,-0.3839,11.992,43.1636,46.22,46.22,19.2874,4.1488,1.81,2.3312,2737300.0,23.7041,5.0988,1.8554,4.0053,1.0401,57.4431,44.9071,45.8475,74.9234,56.0,24.339000000000002,,,0.81,45.6615,,60.9024,-26.506,46.1774
